#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 13:12:15.221

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.4789694037627747,0.4789706970232423,0.001113043590758062,-0.006218858302834975,0.006233424550084037,0.0004258908673127695
10,0.4783575630161527,0.4783603428557133,0.001630804170271472,-0.006186496579118791,0.006191560883369657,0.0002503722209712001
20,0.4788525201521052,0.4788541575166155,0.001252243944050427,-0.00625805701043488,0.006283759150938256,0.0005677600911976787
30,0.478659212642157,0.4786613568346858,0.001432717552011757,-0.006557516904541074,0.006655741769675849,0.001139241217335539
40,0.4792580163706565,0.47925834548935,0.0005616632634903664,-0.006609022183131682,0.00671764479139409,0.001203153076806242
50,0.478911861062139,0.4789133307286441,0.001186458419096866,-0.00669061019081043,0.006814802505234868,0.001295093996585112
60,0.4792831913021869,0.4792834275326029,0.0004758598144587345,-0.006232076471676816,0.006250443142777085,0.000478813462917475
70,0.4793398348981265,0.4793398607851623,0.0001575352281002935,-0.006251675825476762,0.006275592657573856,0.0005473687760122283
80,0.4793029716055309,0.4793031270232243,0.0003859848717105025,-0.006204272737216416,0.006214591327097317,0.0003579736932736384
90,0.4793214032518284,0.4793214959830936,0.0002981545596240891,-0.006164618230690936,0.006169169783312086,0.0002369343478122166
100,0.4791788951572842,0.4791795007533146,0.00076182544892563,-0.006183305986639731,0.006187418140134866,0.0002255444888812449
110,0.4784016191463267,0.4784043179601213,0.001606935293406018,-0.006630444732633983,0.006743224732900208,0.00122812151104508
120,0.4778958727539973,0.4778992583117309,0.001798860622163976,-0.006231620672751235,0.006249857066205849,0.0004770923798930775
130,0.478712259819296,0.4787142726593535,0.00138821699777143,-0.006358332774062548,0.006410723699080896,0.0008179136141719342
140,0.4791973268035806,0.4791978675423151,0.0007198898363560362,-0.007129544556144378,0.007313904260225359,0.001631805732832788
150,0.4792121620310898,0.4792126535110881,0.0006863283479345248,-0.00675715683394531,0.006892586219725359,0.001359623594170543
160,0.4789846885426287,0.4789859347084807,0.001092607088553517,-0.006413028645132166,0.006478928485196836,0.000921725508499922
170,0.4762563553382033,0.4762582846710779,0.001355624492643134,-0.006266717190020897,0.006294825303027636,0.0005942064085345318
180,0.475731278194886,0.4757315444716938,0.0005033412626648552,-0.006220681498537304,0.006235774703590172,0.0004335987173647337
190,0.4756773319130378,0.475677394286264,0.0002435959872840253,-0.0065201413926436,0.006610458047030162,0.00108899578120844
200,0.4757564531264138,0.4757568124490023,0.0005847222865223408,-0.006351951589104398,0.006402719147577077,0.0008046884443269409
