#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 14:00:36.221

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.3472303357287939,0.3472324896199807,0.001223027964916006,-0.006103085375737598,0.006123046747978921,0.0004940145487759898
10,0.3469700449188765,0.3469710987794058,0.0008551708736509665,-0.006105820169291105,0.006126635151243486,0.0005045972024691836
20,0.3468410233947891,0.3468414161301251,0.0005219517666636309,-0.006164618230690938,0.006166134429270421,0.0001367328405192117
30,0.3471354801832109,0.3471372455656978,0.001107093923056192,-0.006170999415649062,0.006171412937694541,7.14413018636775e-05
40,0.3471031124141014,0.3471047392443763,0.001062712751695866,-0.00616826462209558,0.006169781810255603,0.0001368179007821688
50,0.3469920729839645,0.3469932013608325,0.0008849163647403878,-0.006167353024244419,0.006169697772042892,0.0001700801949190819
60,0.3468644001169235,0.3468655315333268,0.0008859443917042822,-0.006153223257551436,0.00615817797424249,0.0002469807789747551
70,0.3469979171644972,0.3469991156098381,0.0009119854999296142,-0.006162339236063035,0.006165648182528647,0.0002019719049924567
80,0.3474461208561869,0.3474490613043087,0.001429441596899979,-0.006157325447881658,0.00616325298366295,0.0002702418722342357
90,0.3475441232682096,0.3475473763798042,0.001503732111081555,-0.006135447099453808,0.006146022254735966,0.0003603865223936951
100,0.3469583565578079,0.3469593264856797,0.0008203963324362095,-0.006206551731844328,0.006217537778595654,0.0003694477340761597
110,0.346902612066566,0.3469033127698953,0.0006972461278737042,-0.00619743575333272,0.00620601782032017,0.0003262625774654698
120,0.3471377279449537,0.347139502836092,0.001110075018695,-0.006245750439444231,0.006267999958014903,0.0005276598543246967
130,0.34811955027459,0.3481240790838323,0.001775712429562121,-0.006196979954407138,0.006205701803393078,0.0003288986429306364
140,0.3491431809726628,0.3491476246734947,0.00176153214384113,-0.006243927243741905,0.006265661891718166,0.0005214321779451723
150,0.3485578638146062,0.3485627241345891,0.001840714311348886,-0.006124052126314285,0.006139425935400967,0.0004342077503555761
160,0.3495212544979474,0.3495249087946894,0.001598287263904977,-0.006126786919867786,0.006141065125664834,0.0004185246900760242
170,0.3489647086902123,0.3489693833123346,0.001806260834522402,-0.006163706632839777,0.006165498290717706,0.0001486260984462864
180,0.3497401864917798,0.3497431975892895,0.001451279689522304,-0.006155958051104913,0.006160364734576136,0.0002329681009394693
190,0.3495621637616806,0.3495657082270767,0.001574177439024618,-0.006165529828542097,0.006166770502201713,0.0001236946247508886
200,0.3495936324260923,0.3495970891657868,0.001554644776694894,-0.006157781246807232,0.006161361789198948,0.0002100219366624804
210,0.3496282479569466,0.3496316049452245,0.00153212505742617,-0.006159604442509557,0.006162634854620466,0.0001932393935227747
220,0.3480867329531304,0.348091214699342,0.001766378477725351,-0.006150944262923528,0.006157138299092276,0.0002761099573836789
230,0.3485704512803731,0.348575312967058,0.001841006337228688,-0.00609624839185389,0.0061193530747837,0.0005312603869031857
240,0.3480772923538104,0.348081759986637,0.001763571117014395,-0.006165985627467677,0.006168744090806846,0.0001844583956773633
250,0.3472905757435227,0.3472929628038233,0.00128763847147503,-0.006161427638211875,0.006164459850185289,0.0001933253827999243
260,0.3473332832166535,0.3473358292052505,0.001329894613428109,-0.006114024549951537,0.006131006509653954,0.0004560094560624129
