#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 14:30:44.180

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.3983251070286019,0.3983251215735026,0.0001076440872158417,-0.006086220815491131,0.006114247124061708,0.0005847512968676803
10,0.3978288012356035,0.3978307842598889,0.001256110000333659,-0.006040185124007549,0.006084562632346927,0.0007335298866985954
20,0.3953693003356882,0.3953720213991403,0.001466852872577405,-0.006064798265988828,0.006111140106576051,0.0007511693517911728
30,0.3924822751521145,0.3924864957987701,0.001820185664718478,-0.005964066703435623,0.006025413456399937,0.000857622106492647
40,0.3883846054933907,0.3883886381686199,0.001769879718068932,-0.005749385409487278,0.005869530647758974,0.00118150642747497
50,0.3841480241589132,0.3841510728956241,0.001530471045923826,-0.005509635174632062,0.005690768779939456,0.001424348815844724
60,0.3797855681668065,0.3797889980846527,0.001614087454923937,-0.00589615266352419,0.005977004804190784,0.0009797806885957722
70,0.3760902478602789,0.376091761391728,0.00106698226554126,-0.005955406523849594,0.006021487683361557,0.0008896331022243569
80,0.3733812454068033,0.3733844827427318,0.001554841317943199,-0.005957229719551926,0.006019963868575207,0.0008668212315392653
90,0.3709595069041767,0.370963988456394,0.001823449718746155,-0.005866069934435866,0.005961593559578455,0.00106293052168206
100,0.369122636007251,0.3691238446165797,0.0009445906830591164,-0.006054314890700497,0.006093987734327457,0.0006942317411244675
110,0.3689437141724554,0.3689441134493076,0.0005427904813647774,-0.006105364370365495,0.006128259353200625,0.0005292339796080006
120,0.3689554025335219,0.3689558573543038,0.0005793249097444481,-0.00588339029360789,0.005968380793031331,0.00100363735667535
130,0.3705737909889535,0.3705783431819586,0.001836809063175024,-0.005531969321985682,0.005707630214722768,0.001405118531880615
140,0.3725446284858058,0.3725448684607086,0.0004228507649519524,-0.006052491694998187,0.006087390629812545,0.000650898580361401
150,0.3749137693636357,0.3749179197409112,0.001764110091887557,-0.005405257220674176,0.005611295707432848,0.001506596792313766
160,0.3763132258252487,0.3763136405784862,0.0005587078477683596,-0.005191487524576962,0.005444912716182282,0.001641807470140706
170,0.379269931622803,0.3792724993626049,0.001395614396218269,-0.005505077185376317,0.005687321528784785,0.001428198639838008
180,0.3819348779460875,0.3819392726339073,0.001832208603537247,-0.005760780382626844,0.005877588284558562,0.00116595601372018
190,0.3837973733268968,0.3837983346918037,0.0008590340784475057,-0.005387025263651043,0.005597298185413425,0.001519771622720067
