#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321A41BC4
#Date Time: 2019-05-16 14:52:29.263

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.3786216771359668,0.3786258427642581,0.00177606634949159,-0.005776277546096562,0.006408195397584492,0.002774812780006927
10,0.3786122365366247,0.3786163241116082,0.00175932614651307,-0.005645007455529444,0.00630245200955132,0.002802640212321207
20,0.3787453040318531,0.3787491758420512,0.001712563816324894,-0.005469524869181024,0.00617294842272343,0.002861745959203714
30,0.3787021470063755,0.3787060939008063,0.001728991132441939,-0.00591894260980317,0.006501709733615102,0.002690417782064477
40,0.3777059390016133,0.3777102531990809,0.001805274112257484,-0.005772175355766277,0.006399858375054935,0.002764087350835777
50,0.3767924486289915,0.3767947864364848,0.001327306259695471,-0.00585467496129634,0.006452448199524598,0.002712354856047694
60,0.3769880039006768,0.3769909518161887,0.001490860913071248,-0.00587017212476607,0.006472510158450843,0.002726621898407628
70,0.3770725197422452,0.3770756997535932,0.001548612251465279,-0.005503709788599506,0.006197828734333681,0.002849957821268831
80,0.3766989417404549,0.3767009517176018,0.001230575715004184,-0.005703349718003684,0.006353417811141742,0.002799592805585498
90,0.3781001964114329,0.3781046788475289,0.00184109750348952,-0.005786305122459365,0.006405898007652336,0.002748490915802996
100,0.3786171816124631,0.3786212620031332,0.001757790844118028,-0.005864702537659122,0.006461238984991562,0.002711618219063372
110,0.3785942544426973,0.3785983675995228,0.001764781002372999,-0.00514408443631666,0.005917959392202985,0.002925856913762363
120,0.3795706821441107,0.3795721769396178,0.001065252685135975,-0.005679192374947916,0.006333544474699073,0.002803668950024216
130,0.3795922606568545,0.3795936693734497,0.001034155581522322,-0.005139982245986464,0.005925899736811861,0.002949045642524615
140,0.3784998484494568,0.3785040819350678,0.00179018580994481,-0.004932137935921815,0.005757961265730925,0.002971217480882056
150,0.3789372628847569,0.3789407413826608,0.001623661605350437,-0.00501007955219604,0.005790691242036889,0.002903654239277005
160,0.3787358634325295,0.3787397520861585,0.001716263462089561,-0.00424889534647679,0.005160547267994833,0.002928845581435243
170,0.3775391550802217,0.3775432740783256,0.001763571117014415,-0.004250718542179147,0.005150184448534771,0.002907884407795545
180,0.3769821597201556,0.3769850908822164,0.001486606947766412,-0.004980908420958832,0.005773988390179542,0.00292052961497569
190,0.378868481375407,0.3788721119377447,0.001658621243100967,-0.005325948207623253,0.006023363071352305,0.002813392681274569
200,0.3779477981652218,0.3779522643724741,0.001837391175127992,-0.005500974995046135,0.006183006357622457,0.002822913693736188
210,0.3781334632852486,0.3781379410951869,0.001840228139195357,-0.004996405584428548,0.005816623201255331,0.002978092795947269
220,0.3785915571285849,0.3785956740492485,0.001765581981092014,-0.005112178511526152,0.00590394814086091,0.002953342939157074
230,0.378614034746034,0.3786181197159765,0.001758769618518646,-0.004914817576749738,0.005747077236470813,0.002978836173614335
240,0.3793085931248064,0.3793110361991919,0.001361383171308872,-0.005385657866874233,0.006104740508845768,0.002874464475571281
250,0.3796120409601923,0.3796133697021731,0.001004397640464142,-0.005275354526883842,0.006022258672671013,0.002904863875683425
